"ENTIDAD_RES","ENTIDAD_FEDERATIVA","ENTIDAD_ABREVIATURA"
1,"Aguascalientes","AS"
2,"Baja California","BC"
3,"Baja California Sur","BS"
4,"Campeche","CC"
5,"Coahuila De Zaragoza","CL"
6,"Colima","CM"
7,"Chiapas","CS"
8,"Chihuahua","CH"
9,"Ciudad De México","DF"
10,"Durango","DG"
11,"Guanajuato","GT"
12,"Guerrero","GR"
13,"Hidalgo","HG"
14,"Jalisco","JC"
15,"México","MC"
16,"Michoacán De Ocampo","MN"
17,"Morelos","MS"
18,"Nayarit","NT"
19,"Nuevo León","NL"
20,"Oaxaca","OC"
21,"Puebla","PL"
22,"Querétaro","QT"
23,"Quintana Roo","QR"
24,"San Luis Potosí","SP"
25,"Sinaloa","SL"
26,"Sonora","SR"
27,"Tabasco","TC"
28,"Tamaulipas","TS"
29,"Tlaxcala","TL"
30,"Veracruz De Ignacio De La Llave","VZ"
31,"Yucatán","YN"
32,"Zacatecas","ZS"
